id,category,regex
1,Auto_Reply,(autosvar|automatic reply).*?\n\[body\]
2,Auto_Reply,ärendet kommer att regleras manuellt av handläggaren på
3,Auto_Reply,ärendet kommer regleras manuellt av handläggaren på if
4,Auto_Reply,automatisk direktreglering är tyvärr inte möjligt för denna faktura\. vi återkommer med beslut
5,Auto_Reply,direktregleringen kunde ej göras automatiskt\. ärendet är sparat hos oss svar kommer så fort en handläggare granskat ärendet
6,Auto_Reply,tack för ditt mejl\. vi tar hand om ditt ärende så snart vi kan
7,Auto_Reply,vi har tagit emot direktregleringen och hanterarden så snart vi kan\. du är välkommen att ringa oss på 010-410 70 57 om du har några frågor
8,Auto_Reply,tack för ditt mejl\W\s*vi svarar så snart vi har möjlighet
9,Auto_Reply,kommer att svara på ditt email inom \d+ timmar
10,Auto_Reply,återkommer till er inom \d+ arbetsdagar
11,Auto_Reply,återkommer så snart vi fått in all information vi behöver
12,Auto_Reply,kommer att hantera ditt ärende så snart vi kan
13,Auto_Reply,vi har fått in dom underlag vi behöver och kommer att hantera ditt ärende inom kort
14,Auto_Reply,tack för ditt email! \- thank you for your email!
15,Finance_Report,här kommer underlag avseende avräkning rubricerad vecka
16,Finance_Report,your balance report and transaction statistics with accounting number
17,Wisentic_Error,diagnoskod saknas\. vänligen kontrollera och skicka om hela underlaget\. registrerat journalsystem är drp
18,Wisentic_Error,ingen gällande försäkring finns\.\.? registrerat journalsystem är drp
19,Wisentic_Error,försäkringsnumret har fel format\.
20,Wisentic_Error,tyvärr kan ingen gällande försäkring hittas på det angivna numret\. vänligen kontrollera sifferkombinationen och\/eller om det saknas någon siffra
21,Wisentic_Error,försäkringsnumret stämmer inte eller är felaktigt inskrivet i pdf-filen\. vänligen kontrollera och skicka om hela underlaget
22,Wisentic_Error,gällande försäkring saknas på angivet
23,Wisentic_Error,underlaget saknar information om diagnoser registrerat journalsystem är drp
24,Other,emails processed spf or dkim aligned spf and dkim not aligned
25,Other,\[subject\].*?byte till drp.*?\n\[body\]
26,Information,\[subject\].*?(öppettid|stäng|driftstörning).*?\n\[body\]
27,Information,tekniskt problem i vårt system
28,Information,se meddelande från svedea nedan
29,Information,hjälp oss att bli bättre
30,Information,vi saknar ert svar
31,Information,driftstörning(ar)? i vårt system
32,Information,fungera som det ska
33,Information,rate your conversation
34,Information,påminnelse om viktig information
35,Complement,beställning av förtydligande av journal
36,Complement,beställning av journal(kopia)?
37,Complement,beställning av specificerade kostnader
38,Complement,för att gå vidare i ärendet har vi bett djurägaren inkomma med
39,Complement,behöver ett förtydligande kunna svara på denna reglering
40,Complement,önskar komplettering för att kunna svara på denna reglering
41,Complement,önskar att ni specificerar kostnader
42,Complement,undrar om ni kan skicka fullständig journal(kopia)? till oss
43,Complement,vänligen återkom med färdigskriven journal
44,Complement,vänligen komplettera med en fullständig journal
45,Complement,(behöver|behöva|ta del av)\s*(en)?\s*(komplett|fullständig)?\s* journal(kopia)?
46,Complement,vi skulle behöva få hjälp med nedanstående information från er
47,Complement,vi skulle vilja ha fullständig journal
48,Complement,för att [\wåöä ]* (behöva|behöver)
49,Complement,skulle ni kunna skicka kvitto för besöket den \d\d\d\d-\d\d-\d\d på
50,Complement,vi behöver.*?för att kunna svara på denna reglering
51,Complement,vi behöver specade kostnader för
52,Complement,behöver se [\wåöä ]* innan vi svarar på denna förfrågan
53,Complement,vi önskar (få )?veta
54,Complement,innan vi kan svara på denna regleringen behöver vi få veta
55,Complement,behöv(er|a) (en )?(få|ha|vet(a)?|remiss|komplettering|be att få|fullständig|chipnr|kostnad|röntgen|färdigskriven)
56,Complement,be er återkomma med färdigskriven journal
57,Complement,fanns det någon kostnad
58,Complement,vi skulle behöva [\wåöä ]* för att kunna hantera ärendet
59,Complement,märk med komplettering av direktreglering
60,Complement,vi behöver ett förtydligande innan vi kan direktreglera
61,Complement,vi behöver.*?innan vi kan direktreglera
62,Complement,för att vi ska kunna hjälpa till med direktreglering behöver vi få
63,Complement,vi har mottagit en direktreglering gällande
64,Complement,för att vi ska kunna fortsätta handlägga skadeärendet behöver vi ytterligare komplettering
65,Complement,för vidare reglering av ärendet behöver vi ta del av
66,Complement,vi behöver nedanstående komplettering
67,Complement,inväntar komplettering från kunden för att kunna reglera
68,Complement,här kommer önskemål om komplettering av en direktreglering
69,Complement,vi har tagit emot en (skadeanmälan|livskadeanmälan) från vår kund gällande [a-zåöä\d\-\.\s]*(undrar om ni kan|behöver veta)
