id,action,templates
1,Trim,"Om du har några frågor angående detta mejl, är du välkommen att kontakta oss på Sveland"
2,Trim,Svara till djurskador@if.se vid eventuella frågor om detta mejl.
3,Trim,"Wisentic AB, Körsbärsvägen 5,\n114 23 Stockholm, Sweden"
4,Trim,\(detta mejl går inte att svara på då hamnar det i fel e\-postkorg\)
5,Trim,Obs! Vi sparar inte underlag vi ej kan åtgärda\/reglera
6,Trim,OBS!! Vi sparar ej underlag vi ej kan handlägga
7,Trim,Svara gärna tillbaka i denna tråd
8,Trim,Har du några frågor eller vill diskutera ärendet är du välkommen att ringa telefonnummer
9,Trim,"Vi vill göra er uppmärksamma på att If, enligt försäkringsvillkoret, har rätt att ta del av djurets journaler"
10,Trim,Har ni några frågor eller vill diskutera ärendet är (ni|du) välkomna att ringa
11,Trim,Märk med Komplettering av direktreglering
12,Trim,Vi vore tacksamma om ni kunde mejla det till folksam\.edjur@wisentic\.com
13,Trim,"OBS! Detta mejl går inte att svara på, var vänliga och skicka till folksam.edjur@wisentic\.com"
14,Trim,Vi önskar (er|dig) en (trevlig|fortsatt bra)?\s*dag
15,Trim,Ser fram emot ert svar
16,Trim,Tack på förhand
17,Trim,Ha en (fortsatt )?fin dag
18,Trim,Ha det fint!
19,Trim,Vänligen återkom så kikar vi vidare på reglering
20,Trim,Vi återkommer så fort vi fått svar
21,Trim,"\n(?:Med|Varma)\s+(?:vänliga?|Vänliga?)?\s+(?:hälsning|Hälsning|hälsningar|Hälsningar)?,?"
22,Trim,"\n(?:vänliga?|Vänliga?)\s+(?:hälsninga?r?|Hälsninga?r?)?,?"
23,Trim,"\n(Hälsning|Hälsningar|Häslningar|Trevlig helg|Best regards),?\s"
24,Trim,"\n(Vänligen|Hälsar),?\n"
25,Trim,"\nVänligen,\s"
26,Trim,"\n(M|m)[V|v](H|h),?\s"
27,Trim,\n\n/ [A-ZÅÖÄ]
28,Trim,Agnes Rudin
29,Trim,Teamet på Hedvig
30,Trim,Djurskador\s+Telefon: 033-78 60 502
31,Trim,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
32,Trim,Aniuma Vetcentrum AB\nOrg\.nr:559425\-6603\nMagasinstgatan 9A\n903 27 Umeå
33,Trim,Receptionen\nDjurvårdare nivå 2
34,Trim,Tel: 046\-260 55 00\s+Mail: hej@nordicvet\.net\s+www\.nordicvet\.net
35,Trim,/Veterinär Ina Lindblom
36,Trim,Oljevägen 11
