id,insuranceCompany,insuranceCompanyReference,forwardAddress
1,Svedea,svedea,direktreglering@svedea.se
2,Folksam,folksam,folksam.edjur@wisentic.com
3,If,if,djurskador@if.se
4,Sveland,sveland,direktreglering@sveland.se
5,Agria,agria,direktregleringsmadjur@agria.se
6,Moderna Försäkringar,moderna,direktreglering@modernadjurforsakringar.se
7,Dina Försäkringar,dina,dir.hundkatt@dina.se
8,ICA Försäkring,ica,direktreglering.djur@ica.se
9,Many Pets,manypets,direktreglering@manypets.com
10,Gefvert,gefvert,info@gefvert.se
11,Mjöbäcks Pastorat Hästförsäkring,mjoback,ulf.litzell@elmoleather.com
12,Lassie,lassie,direktreglering@lassie.co
13,Trygg-Hansa,trygghansa,direktreglering@trygghansa.se
14,Hedvig,hedvig,direktreglering@hedvig.com
15,Dunstan,dunstan,hastdir@dunstan.se
16,Petson,petson,direktreglering@petson.se
17,Furrychamp,furrychamp,direktreglering@furrychamp.com
18,Varsam,varsam,direktregleringvarsam@crawco.se
19,Wisentic,wisentic,
20,Wisentic,djurskador@djurskador.se,
21,Drp,mail@direktregleringsportalen.se,
22,Drp,support@direktregleringsportalen.se,
23,Drp,@drp.se,
24,Drp,@apoex.se,
25,Drp,swedbank-pay-balance-report,
